 * Running on http://0.0.0.0:5000/ (Press CTRL+C to quit)
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 303-482-388
 * Running on http://0.0.0.0:5000/ (Press CTRL+C to quit)
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 303-482-388
127.0.0.1 - - [14/Aug/2017 11:03:41] "GET /YesThisIsAReallyLongRequestURLbutWeAreDoingItOnPurposeWeAreScanningForResearchPurposePleaseHaveALookAtTheUserAgentTHXYesThisIsAReallyLongRequestURLbutWeAreDoingItOnPurposeWeAreScanningForResearchPurposePleaseHaveALookAtTheUserAgentTHXYesThisIsAReallyLongRequestURLbutWeAreDoingItOnPurposeWeAreScanningForResearchPurposePleaseHaveALookAtTheUserAgentTHXYesThisIsAReallyLongRequestURLbutWeAreDoingItOnPurposeWeAreScanningForResearchPurposePleaseHaveALookAtTheUserAgentTHXYesThisIsAReallyLongRequestURLbutWeAreDoingItOnPurposeWeAreScanningForResearchPurposePleaseHaveALookAtTheUserAgentTHXYesThisIsAReallyLongRequestURLbutWeAreDoingItOnPurposeWeAreScanningForResearchPurposePleaseHaveALookAtTheUserAgentTHXYesThisIsAReallyLongRequestURLbutWeAreDoingItOnPurposeWeAreScanningForResearchPurposePleaseHaveALookAtTheUserAgentTHXYesThisIsAReallyLongRequestURLbutWeAreDoingItOnPurposeWeAreScanningForResearchPurposePleaseHaveALookAtTheUserAgentTHXYesThisIsAReallyLongRequestURLbutWeAreDoingItOnPurposeWeAreScann HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 11:41:11] "GET / HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 11:47:11] "POST / HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 12:00:08] "GET /hwi/ HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 12:17:04] "GET /master-status HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 12:21:12] "GET /dfshealth.html HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 12:30:22] "POST /struts2-showcase/integration/saveGangster.action HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 12:39:40] "GET /clusters.jsf HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 12:49:09] "GET /about/ HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 12:50:50] "GET /info HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 12:54:24] "GET / HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 12:54:33] "GET /jenkins/ HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 12:54:47] "GET /zabbix/ HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 12:54:51] "GET /solr/ HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 12:55:09] "GET /warning HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 12:55:18] "GET /pleasereadthis HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 12:55:35] "GET /please_read/_search HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 13:00:09] "GET /dfshealth.jsp HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 13:01:52] "GET /hadoop/dfshealth.jsp HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 14:42:43] "GET / HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 15:04:41] "GET /api/v1/video/av13048371/ HTTP/1.0" 200 -
127.0.0.1 - - [14/Aug/2017 15:12:11] "GET /api/v1/home/ HTTP/1.0" 200 -
127.0.0.1 - - [14/Aug/2017 15:12:16] "GET /api/v1/video/av13337028/ HTTP/1.0" 200 -
127.0.0.1 - - [14/Aug/2017 15:12:26] "GET /api/v1/home/ HTTP/1.0" 200 -
127.0.0.1 - - [14/Aug/2017 15:14:30] "GET /api/v1/home/ HTTP/1.0" 200 -
127.0.0.1 - - [14/Aug/2017 15:17:15] "GET /api/v1/home/ HTTP/1.0" 200 -
127.0.0.1 - - [14/Aug/2017 15:20:33] "GET /api/v1/home/ HTTP/1.0" 200 -
127.0.0.1 - - [14/Aug/2017 15:20:55] "GET /api/v1/home/ HTTP/1.0" 200 -
127.0.0.1 - - [14/Aug/2017 15:28:43] "GET /api/v1/home/ HTTP/1.0" 200 -
127.0.0.1 - - [14/Aug/2017 15:30:21] "GET /api/v1/home/ HTTP/1.0" 200 -
127.0.0.1 - - [14/Aug/2017 15:30:42] "GET /api/v1/home/ HTTP/1.0" 200 -
127.0.0.1 - - [14/Aug/2017 15:32:12] "GET /api/v1/home/ HTTP/1.0" 200 -
127.0.0.1 - - [14/Aug/2017 15:33:18] "GET /api/v1/home/ HTTP/1.0" 200 -
127.0.0.1 - - [14/Aug/2017 15:34:31] "GET /api/v1/home/ HTTP/1.0" 200 -
127.0.0.1 - - [14/Aug/2017 15:35:00] "GET /api/v1/home/ HTTP/1.0" 200 -
127.0.0.1 - - [14/Aug/2017 15:36:44] "GET /api/v1/home/ HTTP/1.0" 200 -
127.0.0.1 - - [14/Aug/2017 15:37:25] "GET /api/v1/home/ HTTP/1.0" 200 -
127.0.0.1 - - [14/Aug/2017 15:37:37] "GET /api/v1/video/av13273869/ HTTP/1.0" 200 -
127.0.0.1 - - [14/Aug/2017 15:40:38] "GET /api/v1/home/ HTTP/1.0" 200 -
127.0.0.1 - - [14/Aug/2017 15:42:34] "GET /api/v1/home/ HTTP/1.0" 200 -
127.0.0.1 - - [14/Aug/2017 15:43:22] "GET /api/v1/video/av13338592/ HTTP/1.0" 200 -
127.0.0.1 - - [14/Aug/2017 15:43:32] "GET /api/v1/video/av12455395/ HTTP/1.0" 200 -
127.0.0.1 - - [14/Aug/2017 15:43:35] "GET /api/v1/video/av13294878/ HTTP/1.0" 200 -
